administration,data_year,state_abbr,victims
Clinton 2nd Term,2000,WY,9
Obama 1st Term,2009,AK,9
Obama 1st Term,2009,AL,9
Obama 1st Term,2009,AR,75
Obama 1st Term,2009,AZ,219
Obama 1st Term,2009,CA,1018
Obama 1st Term,2009,CO,208
Obama 1st Term,2009,CT,200
Obama 1st Term,2009,DC,37
Obama 1st Term,2009,DE,37
Obama 1st Term,2009,FL,130
Obama 1st Term,2009,GA,11
Obama 1st Term,2009,IA,17
Obama 1st Term,2009,ID,35
Obama 1st Term,2009,IL,129
Obama 1st Term,2009,IN,55
Obama 1st Term,2009,KS,122
Obama 1st Term,2009,KY,153
Obama 1st Term,2009,LA,13
Obama 1st Term,2009,MA,317
Obama 1st Term,2009,MD,102
Obama 1st Term,2009,ME,50
Obama 1st Term,2009,MI,315
Obama 1st Term,2009,MN,153
Obama 1st Term,2009,MO,125
Obama 1st Term,2009,MS,2
Obama 1st Term,2009,MT,28
Obama 1st Term,2009,NB,78
Obama 1st Term,2009,NC,103
Obama 1st Term,2009,ND,14
Obama 1st Term,2009,NH,26
Obama 1st Term,2009,NJ,549
Obama 1st Term,2009,NM,15
Obama 1st Term,2009,NV,48
Obama 1st Term,2009,NY,641
Obama 1st Term,2009,OH,303
Obama 1st Term,2009,OK,60
Obama 1st Term,2009,OR,131
Obama 1st Term,2009,PA,36
Obama 1st Term,2009,RI,35
Obama 1st Term,2009,SC,109
Obama 1st Term,2009,SD,42
Obama 1st Term,2009,TN,171
Obama 1st Term,2009,TX,165
Obama 1st Term,2009,UT,49
Obama 1st Term,2009,VA,150
Obama 1st Term,2009,VT,24
Obama 1st Term,2009,WA,208
Obama 1st Term,2009,WI,54
Obama 1st Term,2009,WV,25
Obama 1st Term,2009,WY,8
Obama 1st Term,2010,AK,7
Obama 1st Term,2010,AL,19
Obama 1st Term,2010,AR,64
Obama 1st Term,2010,AZ,236
Obama 1st Term,2010,CA,1092
Obama 1st Term,2010,CO,154
Obama 1st Term,2010,CT,147
Obama 1st Term,2010,DC,58
Obama 1st Term,2010,DE,20
Obama 1st Term,2010,FL,136
Obama 1st Term,2010,GA,17
Obama 1st Term,2010,IA,17
Obama 1st Term,2010,ID,28
Obama 1st Term,2010,IL,94
Obama 1st Term,2010,IN,94
Obama 1st Term,2010,KS,58
Obama 1st Term,2010,KY,173
Obama 1st Term,2010,LA,13
Obama 1st Term,2010,MA,316
Obama 1st Term,2010,MD,80
Obama 1st Term,2010,ME,61
Obama 1st Term,2010,MI,304
Obama 1st Term,2010,MN,127
Obama 1st Term,2010,MO,142
Obama 1st Term,2010,MS,11
Obama 1st Term,2010,MT,31
Obama 1st Term,2010,NB,61
Obama 1st Term,2010,NC,94
Obama 1st Term,2010,ND,8
Obama 1st Term,2010,NH,31
Obama 1st Term,2010,NJ,543
Obama 1st Term,2010,NM,24
Obama 1st Term,2010,NV,68
Obama 1st Term,2010,NY,699
Obama 1st Term,2010,OH,247
Obama 1st Term,2010,OK,49
Obama 1st Term,2010,OR,134
Obama 1st Term,2010,PA,57
Obama 1st Term,2010,RI,20
Obama 1st Term,2010,SC,109
Obama 1st Term,2010,SD,51
Obama 1st Term,2010,TN,147
Obama 1st Term,2010,TX,174
Obama 1st Term,2010,UT,63
Obama 1st Term,2010,VA,175
Obama 1st Term,2010,VT,17
Obama 1st Term,2010,WA,232
Obama 1st Term,2010,WI,93
Obama 1st Term,2010,WV,33
Obama 1st Term,2010,WY,2
Obama 1st Term,2011,AK,8
Obama 1st Term,2011,AL,83
Obama 1st Term,2011,AR,36
Obama 1st Term,2011,AZ,193
Obama 1st Term,2011,CA,1040
Obama 1st Term,2011,CO,186
Obama 1st Term,2011,CT,142
Obama 1st Term,2011,DC,83
Obama 1st Term,2011,DE,16
Obama 1st Term,2011,FL,123
Obama 1st Term,2011,GA,17
Obama 1st Term,2011,IA,15
Obama 1st Term,2011,ID,37
Obama 1st Term,2011,IL,69
Obama 1st Term,2011,IN,100
Obama 1st Term,2011,KS,69
Obama 1st Term,2011,KY,157
Obama 1st Term,2011,LA,5
Obama 1st Term,2011,MA,368
Obama 1st Term,2011,MD,49
Obama 1st Term,2011,ME,55
Obama 1st Term,2011,MI,378
Obama 1st Term,2011,MN,148
Obama 1st Term,2011,MO,121
Obama 1st Term,2011,MS,1
Obama 1st Term,2011,MT,23
Obama 1st Term,2011,NB,36
Obama 1st Term,2011,NC,112
Obama 1st Term,2011,ND,27
Obama 1st Term,2011,NH,22
Obama 1st Term,2011,NJ,508
Obama 1st Term,2011,NM,28
Obama 1st Term,2011,NV,59
Obama 1st Term,2011,NY,545
Obama 1st Term,2011,OH,250
Obama 1st Term,2011,OK,30
Obama 1st Term,2011,OR,130
Obama 1st Term,2011,PA,19
Obama 1st Term,2011,RI,25
Obama 1st Term,2011,SC,124
Obama 1st Term,2011,SD,22
Obama 1st Term,2011,TN,148
Obama 1st Term,2011,TX,153
Obama 1st Term,2011,UT,69
Obama 1st Term,2011,VA,147
Obama 1st Term,2011,VT,9
Obama 1st Term,2011,WA,213
Obama 1st Term,2011,WI,80
Obama 1st Term,2011,WV,19
Obama 1st Term,2011,WY,2
Obama 1st Term,2012,AK,6
Obama 1st Term,2012,AL,6
Obama 1st Term,2012,AR,51
Obama 1st Term,2012,AZ,176
Obama 1st Term,2012,CA,910
Obama 1st Term,2012,CO,189
Obama 1st Term,2012,CT,149
Obama 1st Term,2012,DC,72
Obama 1st Term,2012,DE,10
Obama 1st Term,2012,FL,144
Obama 1st Term,2012,GA,21
